State,County,CountySubdivision,Total,China,DominicanRepublic,Brazil,India,Haiti,ElSalvado,Portugal,Vietnam,Guatemala,Canada
Massachusetts,Barnstable County,Barnstable Town city,6278,140,397,2301,0,7,79,31,12,13,167
Massachusetts,Barnstable County,Bourne town,780,58,7,0,39,0,0,28,8,0,32
Massachusetts,Barnstable County,Brewster town,309,13,0,0,18,0,0,0,0,0,16
Massachusetts,Barnstable County,Chatham town,388,23,0,0,0,0,0,0,0,0,38
Massachusetts,Barnstable County,Dennis town,1020,97,70,47,0,123,0,0,22,46,30
Massachusetts,Barnstable County,Eastham town,288,25,0,27,0,0,0,0,0,0,20
Massachusetts,Barnstable County,Falmouth town,2428,73,0,274,62,0,1,116,5,0,129
Massachusetts,Barnstable County,Harwich town,647,13,0,32,18,71,28,0,0,6,37
Massachusetts,Barnstable County,Mashpee town,800,21,0,81,87,0,13,32,0,0,101
Massachusetts,Barnstable County,Orleans town,412,34,10,0,0,2,0,30,0,0,12
Massachusetts,Barnstable County,Provincetown town,280,11,11,0,0,0,0,98,0,0,0
Massachusetts,Barnstable County,Sandwich town,801,68,0,17,0,0,0,0,19,0,69
Massachusetts,Barnstable County,Truro town,59,0,0,0,0,0,0,35,0,0,1
Massachusetts,Barnstable County,Wellfleet town,233,44,0,0,0,0,0,0,0,0,26
Massachusetts,Barnstable County,Yarmouth town,1925,67,0,545,72,7,10,0,114,0,67
Massachusetts,Berkshire County,Adams town,339,7,1,9,0,0,0,4,0,0,5
Massachusetts,Berkshire County,Alford town,18,0,0,0,2,0,0,0,0,0,0
Massachusetts,Berkshire County,Becket town,65,0,0,9,0,0,0,0,0,0,9
Massachusetts,Berkshire County,Cheshire town,39,0,0,0,0,0,0,0,0,14,0
Massachusetts,Berkshire County,Clarksburg town,60,0,0,9,0,0,0,9,0,6,0
Massachusetts,Berkshire County,Dalton town,266,48,0,0,0,0,23,0,0,0,13
Massachusetts,Berkshire County,Egremont town,111,5,0,4,0,0,0,0,0,24,3
Massachusetts,Berkshire County,Florida town,20,0,0,0,0,0,0,0,0,0,0
Massachusetts,Berkshire County,Great Barrington town,760,53,1,0,0,12,139,0,0,145,0
Massachusetts,Berkshire County,Hancock town,22,4,0,9,0,0,0,0,0,0,3
Massachusetts,Berkshire County,Hinsdale town,48,0,0,0,0,0,0,0,0,0,5
Massachusetts,Berkshire County,Lanesborough town,145,0,0,0,0,0,0,0,0,0,0
Massachusetts,Berkshire County,Lee town,755,0,0,0,143,0,155,0,0,0,59
Massachusetts,Berkshire County,Lenox town,582,0,0,0,28,0,0,0,0,0,28
Massachusetts,Berkshire County,Monterey town,14,0,0,0,0,0,0,0,0,0,3
Massachusetts,Berkshire County,Mount Washington town,5,2,0,0,0,0,0,0,0,0,0
Massachusetts,Berkshire County,New Ashford town,17,0,0,0,0,0,0,0,0,6,0
Massachusetts,Berkshire County,New Marlborough town,46,0,0,0,0,0,0,0,4,0,12
Massachusetts,Berkshire County,North Adams city,512,44,0,0,8,11,0,53,0,0,0
Massachusetts,Berkshire County,Otis town,41,0,0,0,0,0,0,0,0,0,26
Massachusetts,Berkshire County,Peru town,22,0,0,0,0,0,0,0,0,0,6
Massachusetts,Berkshire County,Pittsfield city,3031,134,216,101,156,67,53,17,43,95,143
Massachusetts,Berkshire County,Richmond town,58,6,0,3,0,0,0,0,0,0,7
Massachusetts,Berkshire County,Sandisfield town,32,0,0,0,4,0,0,0,0,0,3
Massachusetts,Berkshire County,Savoy town,18,0,0,0,0,0,0,2,0,0,0
Massachusetts,Berkshire County,Sheffield town,96,26,0,0,0,0,0,0,0,0,0
Massachusetts,Berkshire County,Stockbridge town,205,23,0,0,0,0,0,0,0,17,0
Massachusetts,Berkshire County,Tyringham town,7,2,0,0,0,0,0,0,0,0,0
Massachusetts,Berkshire County,Washington town,15,0,0,0,0,0,0,0,0,0,2
Massachusetts,Berkshire County,West Stockbridge town,68,0,13,0,0,0,0,0,0,0,0
Massachusetts,Berkshire County,Williamstown town,753,65,23,0,4,0,10,6,20,12,37
Massachusetts,Berkshire County,Windsor town,36,11,0,0,0,0,0,0,0,0,3
Massachusetts,Bristol County,Acushnet town,1119,0,0,59,0,0,73,761,0,0,46
Massachusetts,Bristol County,Attleboro city,4353,150,45,38,321,61,172,486,55,566,156
Massachusetts,Bristol County,Berkley town,261,0,1,39,0,0,0,95,0,0,0
Massachusetts,Bristol County,Dartmouth town,4175,250,62,41,115,41,8,2681,51,16,33
Massachusetts,Bristol County,Dighton town,476,0,0,0,0,0,0,352,0,0,0
Massachusetts,Bristol County,Easton town,2035,153,41,79,74,210,0,43,21,0,67
Massachusetts,Bristol County,Fairhaven town,1359,173,0,87,29,0,0,501,73,70,59
Massachusetts,Bristol County,Fall River city,18600,155,428,1599,131,697,298,11281,84,21,101
Massachusetts,Bristol County,Freetown town,661,0,0,9,16,0,0,486,0,0,11
Massachusetts,Bristol County,Mansfield town,2095,120,61,43,448,68,0,51,14,52,167
Massachusetts,Bristol County,New Bedford city,19043,240,369,489,272,128,593,9114,107,1727,100
Massachusetts,Bristol County,North Attleborough town,2744,212,42,21,365,15,117,170,55,74,91
Massachusetts,Bristol County,Norton town,1018,107,32,22,12,69,0,55,8,8,46
Massachusetts,Bristol County,Raynham town,898,65,0,37,6,80,0,142,30,0,16
Massachusetts,Bristol County,Rehoboth town,869,0,28,43,98,0,53,383,26,8,10
Massachusetts,Bristol County,Seekonk town,1015,13,0,93,0,0,0,562,0,0,17
Massachusetts,Bristol County,Somerset town,1537,15,0,6,28,0,0,1186,0,0,28
Massachusetts,Bristol County,Swansea town,1569,31,0,89,91,2,0,1200,0,0,36
Massachusetts,Bristol County,Taunton city,7174,198,66,514,66,678,0,3109,18,0,114
Massachusetts,Bristol County,Westport town,1271,0,0,0,0,25,17,1082,0,0,0
Massachusetts,Dukes County,Aquinnah town,6,0,0,0,0,0,0,0,0,0,0
Massachusetts,Dukes County,Chilmark town,35,0,0,0,0,0,0,0,0,0,0
Massachusetts,Dukes County,Edgartown town,880,33,0,547,0,0,0,0,0,53,22
Massachusetts,Dukes County,Oak Bluffs town,377,0,0,63,0,0,0,0,0,0,140
Massachusetts,Dukes County,Tisbury town,586,0,0,288,0,33,0,0,0,0,7
Massachusetts,Dukes County,West Tisbury town,214,0,0,7,0,0,0,0,0,0,0
Massachusetts,Essex County,Amesbury Town city,679,82,0,9,16,3,0,0,0,71,90
Massachusetts,Essex County,Andover town,6082,1449,138,187,1257,0,23,16,102,36,302
Massachusetts,Essex County,Beverly city,3077,99,285,187,49,38,0,140,66,0,299
Massachusetts,Essex County,Boxford town,452,70,0,34,0,0,0,34,0,0,41
Massachusetts,Essex County,Danvers town,2415,34,111,53,133,0,25,62,0,15,85
Massachusetts,Essex County,Essex town,94,0,0,0,0,0,0,0,0,0,19
Massachusetts,Essex County,Georgetown town,332,7,0,0,0,0,11,0,0,0,27
Massachusetts,Essex County,Gloucester city,2806,66,34,365,162,0,8,154,56,84,237
Massachusetts,Essex County,Groveland town,129,0,23,0,15,0,0,0,0,0,0
Massachusetts,Essex County,Hamilton town,701,121,0,0,14,0,0,16,0,0,67
Massachusetts,Essex County,Haverhill city,5399,102,1604,189,109,211,269,51,124,256,141
Massachusetts,Essex County,Ipswich town,615,41,0,38,22,23,0,0,29,25,27
Massachusetts,Essex County,Lawrence city,31544,42,25010,89,138,322,485,67,487,1380,95
Massachusetts,Essex County,Lynn city,33869,198,8707,862,24,1442,2854,170,589,6201,246
Massachusetts,Essex County,Lynnfield town,1034,85,21,103,174,1,0,16,1,44,28
Massachusetts,Essex County,Manchester-by-the-Sea town,415,13,0,0,0,0,15,0,0,0,0
Massachusetts,Essex County,Marblehead town,2279,143,107,93,9,0,0,32,27,21,110
Massachusetts,Essex County,Merrimac town,200,0,43,0,0,0,0,2,20,33,28
Massachusetts,Essex County,Methuen Town city,9862,204,4896,63,453,140,162,308,376,255,245
Massachusetts,Essex County,Middleton town,638,49,93,0,23,0,9,23,0,129,11
Massachusetts,Essex County,Nahant town,279,12,0,20,0,0,0,0,0,0,18
Massachusetts,Essex County,Newbury town,285,29,21,0,1,0,0,36,0,0,16
Massachusetts,Essex County,Newburyport city,1434,59,17,338,0,119,0,11,0,22,115
Massachusetts,Essex County,North Andover town,3673,446,349,82,571,74,0,34,171,0,179
Massachusetts,Essex County,Peabody city,8012,99,1449,1020,255,173,197,1151,0,117,174
Massachusetts,Essex County,Rockport town,214,0,19,0,13,0,4,11,0,0,14
Massachusetts,Essex County,Rowley town,288,0,0,0,31,20,0,0,0,1,57
Massachusetts,Essex County,Salem city,6834,231,3074,421,94,116,8,132,155,9,133
Massachusetts,Essex County,Salisbury town,437,18,0,15,0,0,0,41,0,0,0
Massachusetts,Essex County,Saugus town,3549,88,75,518,95,92,140,147,440,155,88
Massachusetts,Essex County,Swampscott town,1652,19,32,30,9,0,27,0,0,0,137
Massachusetts,Essex County,Topsfield town,487,57,20,48,30,0,0,53,0,0,0
Massachusetts,Essex County,Wenham town,365,34,0,0,20,0,0,0,0,0,6
Massachusetts,Essex County,West Newbury town,158,6,0,0,0,0,0,0,0,0,26
Massachusetts,Franklin County,Ashfield town,39,6,0,0,0,0,0,0,0,0,2
Massachusetts,Franklin County,Bernardston town,14,0,0,5,0,0,0,0,0,0,0
Massachusetts,Franklin County,Buckland town,98,45,0,0,14,0,0,0,16,0,14
Massachusetts,Franklin County,Charlemont town,35,4,0,5,0,0,0,0,0,0,0
Massachusetts,Franklin County,Colrain town,44,0,0,0,0,0,0,0,0,0,3
Massachusetts,Franklin County,Conway town,30,0,0,0,0,0,0,0,0,8,0
Massachusetts,Franklin County,Deerfield town,132,6,0,0,0,9,0,15,0,0,0
Massachusetts,Franklin County,Erving town,39,0,0,0,0,0,0,0,0,0,28
Massachusetts,Franklin County,Gill town,148,24,0,0,0,0,0,0,0,0,0
Massachusetts,Franklin County,Greenfield Town city,1053,52,9,17,15,0,13,32,41,24,75
Massachusetts,Franklin County,Hawley town,29,6,0,0,0,0,0,0,0,0,2
Massachusetts,Franklin County,Heath town,9,0,0,0,0,0,0,0,3,0,2
Massachusetts,Franklin County,Leverett town,131,0,0,0,15,0,0,0,0,0,7
Massachusetts,Franklin County,Leyden town,11,0,0,0,0,0,0,0,0,0,6
Massachusetts,Franklin County,Monroe town,5,0,0,0,0,0,0,5,0,0,0
Massachusetts,Franklin County,Montague town,606,7,14,0,0,0,30,0,0,74,16
Massachusetts,Franklin County,New Salem town,26,0,4,0,0,0,0,0,0,0,6
Massachusetts,Franklin County,Northfield town,180,1,0,0,0,0,0,0,0,0,12
Massachusetts,Franklin County,Orange town,215,11,0,13,0,0,0,0,0,0,53
Massachusetts,Franklin County,Rowe town,7,0,0,0,0,4,0,0,0,0,1
Massachusetts,Franklin County,Shelburne town,62,0,0,0,31,0,0,0,0,0,5
Massachusetts,Franklin County,Shutesbury town,99,0,0,0,0,0,0,4,0,3,7
Massachusetts,Franklin County,Sunderland town,750,186,0,27,48,0,15,0,94,0,16
Massachusetts,Franklin County,Warwick town,27,0,0,0,0,0,0,13,0,0,0
Massachusetts,Franklin County,Wendell town,26,8,0,0,5,0,0,0,0,0,2
Massachusetts,Franklin County,Whately town,83,12,0,9,0,0,0,0,0,0,0
Massachusetts,Hampden County,Agawam Town city,2127,90,0,0,261,16,0,36,18,0,204
Massachusetts,Hampden County,Blandford town,30,0,0,0,0,0,0,0,0,0,2
Massachusetts,Hampden County,Brimfield town,125,10,0,0,0,0,0,0,0,0,8
Massachusetts,Hampden County,Chester town,52,0,0,0,0,0,0,12,0,0,10
Massachusetts,Hampden County,Chicopee city,4366,256,210,48,65,16,0,452,23,0,352
Massachusetts,Hampden County,East Longmeadow town,825,90,0,0,153,50,0,6,29,24,67
Massachusetts,Hampden County,Granville town,27,0,0,0,0,0,0,0,0,0,4
Massachusetts,Hampden County,Hampden town,134,0,0,0,0,0,0,0,0,0,54
Massachusetts,Hampden County,Holland town,42,0,0,6,0,0,6,0,0,0,0
Massachusetts,Hampden County,Holyoke city,2339,72,446,0,68,35,124,22,16,25,63
Massachusetts,Hampden County,Longmeadow town,1648,217,73,0,61,0,0,0,56,0,69
Massachusetts,Hampden County,Ludlow town,3001,0,16,77,43,0,0,1835,21,24,57
Massachusetts,Hampden County,Monson town,200,53,0,0,0,0,0,9,0,0,69
Massachusetts,Hampden County,Montgomery town,45,0,0,0,0,0,0,0,0,0,5
Massachusetts,Hampden County,Palmer Town city,610,171,0,0,0,0,0,13,8,0,85
Massachusetts,Hampden County,Russell town,22,0,0,0,0,4,0,0,0,0,0
Massachusetts,Hampden County,Southwick town,338,21,0,0,0,0,0,0,73,0,23
Massachusetts,Hampden County,Springfield city,15110,442,2377,118,204,404,11,412,1062,684,267
Massachusetts,Hampden County,Tolland town,16,0,0,6,2,0,0,0,0,0,0
Massachusetts,Hampden County,Wales town,88,0,0,0,0,0,0,0,0,0,17
Massachusetts,Hampden County,Westfield city,4145,143,168,101,37,0,0,30,104,14,60
Massachusetts,Hampden County,West Springfield Town city,4445,102,25,0,270,0,0,41,168,24,93
Massachusetts,Hampden County,Wilbraham town,779,37,27,0,0,0,0,25,30,0,175
Massachusetts,Hampshire County,Amherst town,6620,1244,7,199,712,300,174,4,150,0,120
Massachusetts,Hampshire County,Belchertown town,781,203,0,0,154,0,0,16,0,0,33
Massachusetts,Hampshire County,Chesterfield town,7,0,0,0,0,0,0,0,0,0,0
Massachusetts,Hampshire County,Cummington town,4,0,0,0,0,0,0,0,0,0,0
Massachusetts,Hampshire County,Easthampton Town city,837,4,0,41,160,0,0,0,0,0,37
Massachusetts,Hampshire County,Goshen town,28,12,0,0,0,0,0,0,0,0,2
Massachusetts,Hampshire County,Granby town,239,0,0,71,0,0,0,0,0,17,0
Massachusetts,Hampshire County,Hadley town,407,25,0,0,0,0,0,0,0,0,22
Massachusetts,Hampshire County,Hatfield town,77,0,0,10,14,0,0,0,0,0,0
Massachusetts,Hampshire County,Huntington town,56,0,0,0,0,0,0,0,0,0,23
Massachusetts,Hampshire County,Middlefield town,2,0,0,0,0,0,0,0,0,0,0
Massachusetts,Hampshire County,Northampton city,2213,240,93,125,78,16,14,37,161,3,67
Massachusetts,Hampshire County,Pelham town,53,0,0,0,0,0,0,0,4,0,4
Massachusetts,Hampshire County,Plainfield town,33,3,0,0,0,0,0,0,0,0,4
Massachusetts,Hampshire County,Southampton town,524,40,0,0,0,0,0,0,18,0,35
Massachusetts,Hampshire County,South Hadley town,1229,278,4,0,101,20,0,8,26,0,83
Massachusetts,Hampshire County,Ware town,396,0,0,0,0,0,0,26,0,0,16
Massachusetts,Hampshire County,Westhampton town,39,8,0,0,0,0,0,0,0,0,3
Massachusetts,Hampshire County,Williamsburg town,88,0,5,37,0,0,0,0,0,6,0
Massachusetts,Hampshire County,Worthington town,40,0,0,0,0,0,0,0,0,0,13
Massachusetts,Middlesex County,Acton town,6184,1553,0,324,1917,0,42,50,140,119,40
Massachusetts,Middlesex County,Arlington town,8813,1174,79,75,980,32,40,195,165,39,436
Massachusetts,Middlesex County,Ashby town,146,10,0,0,0,0,0,0,0,0,31
Massachusetts,Middlesex County,Ashland town,3740,204,0,664,813,0,6,24,22,15,71
